Player,Pos,Age,Tm,G,MP,3P,2P,FT,AST,STL,BLK,PF,PTS
Precious Achiuwa,PF-C,24,TOT,74,1624,26,209,69,97,46,68,143,565
Precious Achiuwa,C,24,TOR,25,437,13,65,24,44,16,12,40,193
Precious Achiuwa,PF,24,NYK,49,1187,13,144,45,53,30,56,103,372
Bam Adebayo,C,26,MIA,71,2416,15,515,292,278,81,66,159,1367
Ochai Agbaji,SG,23,TOT,78,1641,62,116,37,83,47,44,117,455
Ochai Agbaji,SG,23,UTA,51,1003,47,59,15,47,27,29,66,274
Ochai Agbaji,SG,23,TOR,27,638,15,57,22,36,20,15,51,181
Santi Aldama,PF,23,MEM,61,1618,106,141,54,138,43,54,89,654
Nickeil Alexander-Walker,SG,25,MIN,82,1921,131,105,52,204,64,42,143,655
Grayson Allen,SG,28,PHO,75,2513,205,135,129,227,69,45,157,1014
Jarrett Allen,C,25,CLE,77,2442,0,519,233,210,53,81,147,1271
Timmy Allen,SF,24,MEM,5,125,0,6,1,5,4,0,18,13
Jose Alvarado,PG,25,NOP,56,1028,78,64,35,117,59,15,89,397
Kyle Anderson,PF,30,MIN,79,1782,11,188,97,331,71,47,128,506
Giannis Antetokounmpo,PF,29,MIL,73,2567,34,803,514,476,87,79,210,2222
Thanasis Antetokounmpo,PF,31,MIL,34,155,0,16,0,17,7,4,24,32
Cole Anthony,PG,23,ORL,81,1817,93,239,180,236,64,37,175,937
OG Anunoby,SF,26,TOT,50,1702,102,180,67,107,68,36,119,733
OG Anunoby,SF,26,TOR,27,900,61,96,33,72,28,13,62,408
OG Anunoby,SF,26,NYK,23,802,41,84,34,35,40,23,57,325
Ryan Arcidiacono,PG,29,NYK,20,45,0,0,0,4,2,0,5,0
Deni Avdija,SF,23,WAS,75,2257,88,318,202,286,60,36,185,1102
Deandre Ayton,C,25,POR,55,1784,1,426,65,90,56,42,109,920
Udoka Azubuike,C,24,PHO,16,113,0,16,3,3,1,6,17,35
Ibou Badji,C,21,POR,22,226,0,14,6,13,3,20,46,34
Marvin Bagley III,C,24,TOT,50,1053,9,230,96,55,20,33,81,583
Marvin Bagley III,C,24,DET,26,478,1,106,50,27,5,14,40,265
Marvin Bagley III,C,24,WAS,24,575,8,124,46,28,15,19,41,318
Player,Pos,Age,Tm,G,MP,3P,2P,FT,AST,STL,BLK,PF,PTS
Amari Bailey,PG,19,CHO,10,65,1,7,6,7,3,0,2,23
Patrick Baldwin Jr.,SF,21,WAS,38,493,31,28,19,29,18,15,56,168
LaMelo Ball,PG,22,CHO,22,711,70,113,90,176,40,4,79,526
Mo Bamba,C,25,PHI,57,740,25,72,34,41,22,60,101,253
Paolo Banchero,PF,21,ORL,80,2799,119,521,405,431,71,47,153,1804
Desmond Bane,SG,25,MEM,42,1443,137,223,140,230,43,22,120,997
Dalano Banton,PG,24,TOT,54,1047,59,143,94,127,33,20,64,557
Dalano Banton,PG,24,BOS,24,171,2,17,16,19,5,3,20,56
Dalano Banton,PG,24,POR,30,876,57,126,78,108,28,17,44,501
Dominick Barlow,PF,20,SAS,33,420,3,53,29,36,12,14,47,144
Harrison Barnes,PF,31,SAC,82,2381,149,198,157,99,54,12,98,1000
Scottie Barnes,SG,22,TOR,60,2094,101,346,196,363,75,88,118,1191
RJ Barrett,SG,23,TOT,58,1838,90,346,208,193,31,22,129,1170
RJ Barrett,SG,23,NYK,26,766,43,121,103,63,12,9,45,474
RJ Barrett,SG,23,TOR,32,1072,47,225,105,130,19,13,84,696
Charles Bassey,C,23,SAS,19,205,0,29,5,21,8,17,31,63
Emoni Bates,SF,20,CLE,15,133,10,5,1,10,1,2,5,41
Keita Bates-Diop,SF,28,TOT,53,665,21,51,32,38,25,22,35,197
Keita Bates-Diop,SF,28,PHO,39,597,20,44,26,34,22,20,33,174
Keita Bates-Diop,SF,28,BRK,14,68,1,7,6,4,3,2,2,23
Nicolas Batum,PF,35,TOT,60,1529,73,43,15,128,48,38,109,320
Nicolas Batum,PF,35,LAC,3,54,2,1,0,5,3,4,5,8
Nicolas Batum,PF,35,PHI,57,1475,71,42,15,123,45,34,104,312
Darius Bazley,PF,23,TOT,9,152,2,16,10,7,6,7,3,48
Darius Bazley,PF,23,PHI,3,10,0,0,0,2,0,0,0,0
Darius Bazley,PF,23,UTA,6,142,2,16,10,5,6,7,3,48
Bradley Beal,SG,30,PHO,53,1767,101,276,109,265,52,27,127,964
Malik Beasley,SG,27,MIL,79,2337,224,96,25,108,59,9,158,889
MarJon Beauchamp,SF,23,MIL,48,608,30,51,19,31,13,7,54,211
Jules Bernard,SG,24,WAS,19,149,11,18,5,16,3,1,14,74
Player,Pos,Age,Tm,G,MP,3P,2P,FT,AST,STL,BLK,PF,PTS
Dāvis Bertāns,PF,31,TOT,43,674,76,16,30,35,26,12,56,290
Dāvis Bertāns,PF,31,OKC,15,91,10,0,14,9,3,3,10,44
Dāvis Bertāns,PF,31,CHO,28,583,66,16,16,26,23,9,46,246
Patrick Beverley,PG,35,TOT,73,1462,61,97,74,212,43,31,128,451
Patrick Beverley,PG,35,PHI,47,919,35,69,51,144,24,18,83,294
Patrick Beverley,PG,35,MIL,26,543,26,28,23,68,19,13,45,157
Saddiq Bey,SF,24,ATL,63,2062,113,177,170,92,51,11,88,863
Goga Bitadze,C,24,ORL,62,957,2,124,57,79,32,72,107,311
Onuralp Bitim,SG,24,CHI,23,268,12,20,4,13,3,2,24,80
Bismack Biyombo,C,31,TOT,40,791,0,74,26,53,11,37,89,174
Bismack Biyombo,C,31,MEM,30,718,0,67,22,51,10,34,82,156
Bismack Biyombo,C,31,OKC,10,73,0,7,4,2,1,3,7,18
Anthony Black,PG,20,ORL,69,1164,37,78,49,91,35,21,110,316
Leaky Black,SF,24,CHO,26,284,9,16,10,24,8,11,19,69
Buddy Boeheim,SF,24,DET,10,84,8,1,8,3,0,1,5,34
Bogdan Bogdanović,SG,31,ATL,79,2401,240,231,151,247,96,26,179,1333
Bojan Bogdanović,SF-PF,34,TOT,57,1478,133,176,117,97,30,5,95,868
Bojan Bogdanović,PF,34,DET,28,921,86,113,81,71,23,4,57,565
Bojan Bogdanović,SF,34,NYK,29,557,47,63,36,26,7,1,38,303
Bol Bol,PF,24,PHO,43,469,22,71,15,17,10,25,42,223
